ID,Nombre,Apellido,Categoría,TiempoLlegada,TiempoEsperaSegundos
P0085,Mr,Villavicencio,5,50400,0
P0086,The,Slimming,4,51000,300
P0087,Marta,Slimming,5,51600,0
P0088,Mia,Khalifa,5,52200,0
P0089,Marcos,Alonso,2,52800,300
P0090,The,Grande,4,53400,0
P0091,Mr,Beast,5,54000,0
P0092,Luis,Alonso,4,54600,300
P0093,Marta,Villavicencio,4,55200,0
P0094,Andrés,Alonso,2,55800,0
P0095,Mr,Solis,4,56400,300
P0096,Auron,Alonso,3,57000,0
P0097,Cristian,Alonso,4,57600,0
P0098,Marcos,Solis,3,58200,300
P0099,Jose,Sniper,3,58800,0
P0100,Alpha,Slimming,3,59400,0
P0101,Cristian,Grefg,5,60000,300
P0102,Laura,Lean,2,60600,0
P0103,Auron,Slimming,4,61200,0
P0104,Marcos,Villavicencio,4,61800,300
P0105,Andrés,Play,4,62400,0
P0106,Luis,Slimming,5,63000,0
P0107,Marta,Beast,5,63600,300
P0108,Marta,Khalifa,5,64200,0
P0109,Marta,Díaz,5,64800,0
P0110,Laura,Solis,2,65400,300
P0111,Andrés,Alonso,3,66000,0
P0112,Mr,Díaz,5,66600,0
P0113,Marcos,Grande,5,67200,300
P0114,Jose,Grande,3,67800,0
P0115,Marta,Díaz,4,68400,0
P0116,Alpha,Grande,4,69000,300
P0117,Marcos,Grefg,4,69600,0
P0118,Guillermo,Díaz,2,70200,0
P0119,Cristian,Villavicencio,2,70800,300
P0120,Diego,Díaz,4,71400,0
P0121,Mia,Slimming,1,72000,0
P0122,Mariana,Grefg,3,72600,300
P0123,Cristian,Grefg,3,73200,0
P0124,Jose,Villavicencio,5,73800,0
P0125,Marta,Fantoval,5,74400,300
P0126,Cristian,Beast,5,75000,0
P0127,Auron,Solis,3,75600,0
P0128,Cristian,Villavicencio,2,76200,300
P0129,Mia,Grande,5,76800,0
P0130,Cristian,Villavicencio,4,77400,0
P0131,Jose,Villavicencio,4,78000,300
P0132,Jose,García,5,78600,0
P0133,Alpha,Khalifa,5,79200,0
P0134,Mariana,García,4,79800,300
P0135,Marta,Khalifa,3,80400,0
P0136,Alpha,Slimming,4,81000,0
P0137,Guillermo,Solis,5,81600,300
P0138,Luis,Grande,5,82200,0
P0139,Diego,Grefg,3,82800,0
P0140,Mr,Alonso,4,83400,300
P0141,Luis,Sniper,5,84000,0
P0142,Mariana,Sniper,2,84600,0
P0143,Jose,Lean,2,85200,300
P0144,Marta,Slimming,2,85800,0
